feature,importance,pillar
sector_division_Transporte_Utilities,0.0,Categóricas & Estrés Contable
form_type_10-Q/A,0.0,Categóricas & Estrés Contable
sic_6221,0.0,Categóricas & Estrés Contable
sic_6282,0.0,Categóricas & Estrés Contable
sic_6311,0.0,Categóricas & Estrés Contable
sic_6200,0.0,Categóricas & Estrés Contable
sic_6513,0.0,Categóricas & Estrés Contable
sic_200,0.0,Categóricas & Estrés Contable
sic_900,0.0,Categóricas & Estrés Contable
insider_ceo_cfo_sale_flag,0.0,SEC Insider Transactions
news_sentiment_avg,0.0,NLP FinBERT Noticias Financieras
news_sentiment_min,0.0,NLP FinBERT Noticias Financieras
sector_division_Construccion,0.0,Categóricas & Estrés Contable
sic_5051,0.0,Categóricas & Estrés Contable
sic_5063,0.0,Categóricas & Estrés Contable
sic_5064,0.0,Categóricas & Estrés Contable
sic_6159,0.0,Categóricas & Estrés Contable
sic_6162,0.0,Categóricas & Estrés Contable
sic_6163,0.0,Categóricas & Estrés Contable
sic_6189,0.0,Categóricas & Estrés Contable
sic_6199,0.0,Categóricas & Estrés Contable
sic_5080,0.0,Categóricas & Estrés Contable
sic_5082,0.0,Categóricas & Estrés Contable
sic_5084,0.0,Categóricas & Estrés Contable
sic_5090,0.0,Categóricas & Estrés Contable
sic_5094,0.0,Categóricas & Estrés Contable
sic_5099,0.0,Categóricas & Estrés Contable
sic_5047,0.0,Categóricas & Estrés Contable
sic_5050,0.0,Categóricas & Estrés Contable
sic_5945,0.0,Categóricas & Estrés Contable
sic_5960,0.0,Categóricas & Estrés Contable
sic_5990,0.0,Categóricas & Estrés Contable
sic_6021,0.0,Categóricas & Estrés Contable
sic_5661,0.0,Categóricas & Estrés Contable
sic_5700,0.0,Categóricas & Estrés Contable
sic_5712,0.0,Categóricas & Estrés Contable
sic_8062,0.0,Categóricas & Estrés Contable
sic_6036,0.0,Categóricas & Estrés Contable
sic_6099,0.0,Categóricas & Estrés Contable
sic_6111,0.0,Categóricas & Estrés Contable
sic_6141,0.0,Categóricas & Estrés Contable
sic_6153,0.0,Categóricas & Estrés Contable
sic_5900,0.0,Categóricas & Estrés Contable
sic_5912,0.0,Categóricas & Estrés Contable
sic_5944,0.0,Categóricas & Estrés Contable
sic_3140,0.0,Categóricas & Estrés Contable
sic_3221,0.0,Categóricas & Estrés Contable
sic_3231,0.0,Categóricas & Estrés Contable
sic_3241,0.0,Categóricas & Estrés Contable
sic_6211,0.0,Categóricas & Estrés Contable
sic_6022,0.0,Categóricas & Estrés Contable
sic_6029,0.0,Categóricas & Estrés Contable
sic_6035,0.0,Categóricas & Estrés Contable
sic_6321,0.0,Categóricas & Estrés Contable
sic_6324,0.0,Categóricas & Estrés Contable
sic_6331,0.0,Categóricas & Estrés Contable
sic_6351,0.0,Categóricas & Estrés Contable
sic_6361,0.0,Categóricas & Estrés Contable
sic_3086,0.0,Categóricas & Estrés Contable
sic_3089,0.0,Categóricas & Estrés Contable
sic_7373,0.0,Categóricas & Estrés Contable
sic_8093,0.0,Categóricas & Estrés Contable
sic_8111,0.0,Categóricas & Estrés Contable
sic_2670,0.0,Categóricas & Estrés Contable
sic_2673,0.0,Categóricas & Estrés Contable
sic_2711,0.0,Categóricas & Estrés Contable
sic_2732,0.0,Categóricas & Estrés Contable
sic_7385,0.0,Categóricas & Estrés Contable
tag_RevenueFromContractWithCustomerExcludingAssessedTax,0.0,Contabilidad & Ratios Financieros
sic_2771,0.0,Categóricas & Estrés Contable
sic_2780,0.0,Categóricas & Estrés Contable
sic_2790,0.0,Categóricas & Estrés Contable
sic_2800,0.0,Categóricas & Estrés Contable
sic_2810,0.0,Categóricas & Estrés Contable
sic_2820,0.0,Categóricas & Estrés Contable
sic_2833,0.0,Categóricas & Estrés Contable
sic_9995,0.0,Categóricas & Estrés Contable
