,tag_NetIncomeLoss,tag_WorkingCapital,merton_distance_to_default,tag_Assets,pub_lag_days,tag_LiabilitiesAndStockholdersEquity,stock_price_close,tag_StockholdersEquity,tag_RetainedEarningsAccumulatedDeficit,tag_LiabilitiesCurrent,tag_InterestExpense,corp_archetype_prob_1,macro_inflation,macro_real_gdp,market_cap,tag_EntityCommonStockSharesOutstanding,tag_AssetsCurrent,tag_CommonStockSharesAuthorized,tag_CommonStockSharesIssued,macro_real_gdp_growth_yoy,corp_archetype_prob_0,news_sentiment_range_6m,tag_CommonStockParOrStatedValuePerShare,tag_CommonStockSharesOutstanding,tag_CommonStockValue,tag_CashAndCashEquivalentsAtCarryingValue,macro_yield_curve,macro_interest_rate,news_sentiment_std_6m,macro_unemployment_rate,market_news_sentiment_mean,corp_archetype_prob_2,tag_Revenues_combined,macro_regime_expansion_prob,tag_RevenueFromContractWithCustomerExcludingAssessedTax,news_sentiment_avg,macro_regime_crisis_prob
corp_archetype_prob_0,-0.326179108305853,-0.5650969703591182,-0.21203875098933994,-0.8101151529793275,0.4175584683523172,-0.8148367356812741,-0.2558229220530476,-0.6965730840245514,-0.21858331733009187,-0.8809770798089762,-0.7221589415423795,-0.08060792563745237,-0.09063437648521304,-0.09138925840561281,-0.2967130651989077,-0.3453068027054362,-0.8924953234339328,-0.17809609296656648,-0.3802822656530516,-0.008782595307267384,1.0,-0.3380958613741904,-0.33472994552177,-0.3417140010789237,-0.4142448447092773,-0.7952027358111985,0.072912999161712,-0.07501092409213837,-0.2890503322197263,0.06158054966884897,-0.003113335269566858,-0.3220393073077994,-0.7762266279869335,0.05182896153730251,-0.6891014289742714,0.09421015866417128,0.07074817349155732
news_sentiment_range_6m,0.2077658624587264,0.2621792707378509,0.09546305447244802,0.34917171287728593,-0.2287854584776438,0.35957183369857276,0.3037488082116065,0.3404194361221234,0.17450490949810057,0.3859556530213838,0.2879205973707758,0.013554493693395476,0.1379573331480214,0.13135098197523723,0.2652235654388644,0.2054468141506782,0.39816805652238463,0.09304450845424632,0.2146113088052928,-0.06609372886833323,-0.3380958613741904,1.0,0.18919096577625352,0.1977913417062226,0.24302870734012122,0.34209486905458,-0.08092222421909823,0.01742092619600323,0.8581034650242821,0.001676300528701107,0.06524424823364741,0.038612486332225374,0.34051780329021936,0.0508684730019794,0.32431759439353386,-0.07657086670818933,-0.04380593413245706
tag_CommonStockParOrStatedValuePerShare,0.3576200967200984,0.22608550570105163,0.29250300037420324,0.45234688794723954,-0.21678402262765464,0.46473981061053793,0.14206954859828733,0.40409891655314145,0.36118402895515883,0.4187563651106903,0.41056526964470563,0.280559017946926,-0.11832554875231782,-0.1174696305199004,0.1546958540500114,0.0002649137389541201,0.4016611774209901,-0.15265683422425075,0.05265852682539642,-0.04251265328935686,-0.33472994552177,0.18919096577625352,1.0,0.01066660064075079,0.7396922819879378,0.32990344479670525,0.09736536877502326,-0.05729267702453393,0.16047446748735297,0.08974193768228061,0.004192511207847107,-0.10369762994094789,0.4055897353260775,0.005885193046039955,0.2721100247917633,-0.03411513133323074,0.07806159152631603
tag_CommonStockSharesOutstanding,0.09008322920111798,0.19508317095914432,-0.028166403717059346,0.3291738350711327,-0.17766276534417644,0.3303308088331867,0.13075519917228431,0.3218763509839543,-0.02676705029132465,0.40060807306349205,0.32306176073167353,-0.09008939306357569,0.03930528294631344,0.03863911667579615,0.1929861141828218,0.9409574122581373,0.3648048543138783,0.6806089185357986,0.9627024693578045,0.00037910237814790863,-0.3417140010789237,0.1977913417062226,0.01066660064075079,1.0,0.3753494320686082,0.38825118663922076,-0.03550641047469773,0.04036979281516039,0.14430546557570997,-0.029742314615974704,0.01767077241938319,0.01571741542484667,0.3269505837421954,-0.02923463743863534,0.4073044713389328,-0.01566167851500418,-0.031987925680328114
tag_CommonStockValue,0.35531752398199123,0.27126715662555867,0.2478708535051507,0.5156886808401784,-0.26930781901624556,0.5251397005163945,0.1683288528367756,0.4770284839019596,0.32604897229773594,0.49695416912567547,0.47349883725304515,0.2087641979650518,-0.09593281669289225,-0.0949448222965045,0.2039427123308476,0.3552771047095905,0.47738574890557395,0.09104404835000998,0.3978889112019398,-0.036306433164066024,-0.4142448447092773,0.24302870734012122,0.7396922819879378,0.3753494320686082,1.0,0.42694421877983096,0.07555775949651133,-0.03599368215963037,0.19776879191360358,0.07180353586876904,0.0010212441376890888,-0.07504635792137636,0.45668076136411667,-0.006096103743424247,0.33148171850437197,-0.046401797382992466,0.059490020875061916
tag_CashAndCashEquivalentsAtCarryingValue,0.35602910834569884,0.686894522795752,0.2815825946306313,0.8544298346652618,-0.44241500927552535,0.8599072288446948,0.26673492098417695,0.7385665670703916,0.2520793653177951,0.8420969226775552,0.7040046712870449,0.12688355191651146,0.11436824583545187,0.11401784856129839,0.29267437341661595,0.39977873312787116,0.9288699889968074,0.24577015784388503,0.4286691662924186,0.0107216780625177,-0.7952027358111985,0.34209486905458,0.32990344479670525,0.38825118663922076,0.42694421877983096,1.0,-0.08696538445548666,0.08957783990937755,0.29129992039174174,-0.06747666285213823,0.005288580928979382,0.06720040205184638,0.7609905146158868,-0.07327991186415479,0.6498861713589829,-0.09729770700545705,-0.07860556695971097
macro_yield_curve,0.038041334325991855,-0.005718602344211747,0.06954603330985626,-0.07233895503100608,0.02698117171682437,-0.07591215045793602,-0.10846092766301413,0.0034656887104454292,0.08340402543572767,-0.05288920210625504,-0.07205492800118873,0.0005644460164046609,-0.8131611389028907,-0.8204157076858681,-0.046583211281787905,-0.043395632848718176,-0.05919167774496741,-0.09572746391596863,-0.028384011338891818,-0.1200615530804156,0.072912999161712,-0.08092222421909823,0.09736536877502326,-0.03550641047469773,0.07555775949651133,-0.08696538445548666,1.0,-0.783496069577044,0.025602804068530837,0.8390940881052766,0.17213229866487453,-0.007359327257091973,-0.021891697430793607,-0.008070654937936794,0.004735538160540104,0.22949278442253498,0.8025537142700634
macro_interest_rate,-0.0015992350509690366,0.013196081054206398,-0.028180186391747124,0.07127377360836927,-0.04108713711828179,0.0736271521654649,0.09305371809794986,0.027313720718803117,-0.05114732498970873,0.07402017758398094,0.05817274643238029,0.010890466666889382,0.6290508819003623,0.6635522696785541,0.04623867918858853,0.03969162859521819,0.06938909692437902,0.08771202665660952,0.03779680846849088,0.11313424650778472,-0.07501092409213837,0.01742092619600323,-0.05729267702453393,0.04036979281516039,-0.03599368215963037,0.08957783990937755,-0.783496069577044,1.0,-0.07269458847451495,-0.7550191453168053,-0.07562413052974477,-0.0034605936287201017,0.042608154417720104,-0.10889046351332707,0.031110168413103288,-0.15887160683440635,-0.8401657178896014
news_sentiment_std_6m,0.18526138895062735,0.23931020767785927,0.09598727113831806,0.30084765802892627,-0.19247140255187542,0.30836651044103924,0.27994967705065316,0.29359243636169724,0.16381487630588468,0.3329318950769384,0.2451051654382563,0.02283463810019331,0.04180804222060587,0.03319481995816789,0.23770294241993833,0.15856724016197613,0.34971996224464424,0.05711850757342479,0.1589813252192731,-0.11524632838145338,-0.2890503322197263,0.8581034650242821,0.16047446748735297,0.14430546557570997,0.19776879191360358,0.29129992039174174,0.025602804068530837,-0.07269458847451495,1.0,0.1184851016337229,0.07053934914647057,0.025486319635533314,0.3014181576792596,-0.04102688945534683,0.28395271596940086,-0.07018548293500733,0.06185099624135602
macro_unemployment_rate,0.02196175883312393,-0.005561411494163011,0.029436766367510244,-0.058470178934534996,0.003828408970093899,-0.0622702780605977,-0.08899030289179767,0.007840045610127208,0.06851301975520649,-0.0392516857532341,-0.05307073616839248,0.003359485478689125,-0.7205130728456733,-0.7565002658425602,-0.05133554105483856,-0.03847056930668436,-0.046358202795021286,-0.0838204498821462,-0.025064173414653463,-0.32300938023011416,0.06158054966884897,0.001676300528701107,0.08974193768228061,-0.029742314615974704,0.07180353586876904,-0.06747666285213823,0.8390940881052766,-0.7550191453168053,0.1184851016337229,1.0,0.1597121201936634,-0.01007330906744739,-0.02153393770682133,-0.3073999462968894,-0.02544905427729919,0.176183379463247,0.8941281486410114
market_news_sentiment_mean,0.010655072689834484,-0.0040464270536880054,0.006362281225499511,-0.002355635067127639,0.036296562106947164,-0.003127988379955934,0.020643561484487934,0.0005641386895999346,0.01671622616735497,0.018340260600513508,-0.0012881389120085694,-0.0181901315764793,0.058672409628918724,0.03809406051704635,0.03633199235692804,0.020400260534309902,0.009148180566412341,0.022475257771458614,0.016529545499001676,0.1962372509682316,-0.003113335269566858,0.06524424823364741,0.004192511207847107,0.01767077241938319,0.0010212441376890888,0.005288580928979382,0.17213229866487453,-0.07562413052974477,0.07053934914647057,0.1597121201936634,1.0,-0.014289784842480155,0.01675192730113183,-0.29184804193214514,0.04248953953150591,0.5343515340144043,0.1085399912622907
corp_archetype_prob_2,-0.24968012428672318,0.29277799993580483,-0.3624175464493156,-0.05114223353292781,-0.09076358489487354,-0.04554062324152843,0.01593485755740563,-0.01783519584977241,-0.2374988239045145,0.30210594771346216,-0.1095287849910016,-0.579741010213428,0.0018045546523260297,0.0024561161548204463,0.013065478725260222,0.002530005523479769,0.30998630638883107,-0.08397483443815339,0.005976497859535887,0.01418752402772538,-0.3220393073077994,0.038612486332225374,-0.10369762994094789,0.01571741542484667,-0.07504635792137636,0.06720040205184638,-0.007359327257091973,-0.0034605936287201017,0.025486319635533314,-0.01007330906744739,-0.014289784842480155,1.0,0.04733749518822101,0.014010317564409791,-0.10124962721867262,-0.016413503556265335,-0.004893909211222486
